NAME,PER,R,SEP,DATE,PLANETDISCMETH,MASS,MSINI
# ,day,rearth,au,,,mearth,mearth
Kepler-107 d,7.958203,1.0699980915946756,0.0780099,2014,Transit,1.1798433192728732,
Kepler-1049 b,3.27346074,0.9527633621297878,0.0344721,2016,Transit,0.779632751330722,
Kepler-813 b,19.12947337,2.140915319609288,0.13761,2016,Transit,5.0754359395400215,
Kepler-427 b,10.290994,13.787046299054577,0.091351,2010,Transit,92.16681731445213,98.66044631917244
Kepler-1056 b,27.495606,3.015215816622505,0.185149,2016,Transit,8.62112518328814,
Kepler-1165 b,9.478522,1.546839340869538,0.0912977,2016,Transit,3.681682971778648,
Kepler-1104 b,5.03728015,1.2329878804032548,0.0627651,2016,Transit,1.936402584613839,
WASP-14 b,2.243752,14.35870431633245,0.0367693,2009,Transit,2444.7534327608714,2432.749499347193
Kepler-50 b,7.8125124,2.1980362854141515,0.0825598,2011,Transit,5.24127264738375,
NN Ser d,2605,,3.70596,2010,Timing,204.2356286532088,204.2356286532088
Kepler-1279 b,23.4774101,1.7486009940264342,0.170989,2016,Transit,4.100724173947976,
Kepler-1599 b,122.363553,1.6253022059861084,0.48075,2016,Transit,3.8398920809480765,
Kepler-20 b,3.6961219,1.9082953425001177,0.0453704,2011,Transit,8.474452817113589,8.45865733152556
HAT-P-27 b,3.039577,11.433160345557454,0.0399488,2011,Transit,196.24699030832576,195.5001212714673
Kepler-181 b,3.137873,1.2699999347768143,0.0419466,2014,Transit,2.1431994973385557,
HD 116029 b,670,,1.64869,2011,RV,606.2351863010947,606.2351863010947
Kepler-207 b,1.611865,1.5699970950596571,0.0269045,2014,Transit,3.72782994375816,
Kepler-1156 b,11.89520511,1.3226597262507642,0.101981,2016,Transit,2.461082850256101,
Kepler-1512 b,20.35972599,1.1769429767485615,0.13139,2016,Transit,1.648581504971377,
Kepler-787 b,0.9283105,1.2778238033270095,0.0161327,2016,Transit,2.188656807271266,
Kepler-528 b,19.78297415,2.0848704159545943,0.143629,2016,Transit,4.9194197649894535,
HD 219828 b,3.8334999,,0.0515012,2007,RV,19.774072838204276,19.774072838204276
Kepler-480 b,4.9195838,2.7798272212727926,0.0609811,2016,Transit,7.4214628201265445,
Kepler-1567 b,153.979578,2.734991298349038,0.5527,2016,Transit,7.216248634126745,
Kepler-1390 b,6.48021673,1.1769429767485615,0.0675681,2016,Transit,1.648581504971377,
Kepler-1642 b,12.2057513,3.1945595083175236,0.0994208,2016,Transit,9.686033303203775,
Kepler-11 c,13.0241,2.867436614665809,0.106909,2011,Transit,2.8998763548257505,
Kepler-871 b,22.0459018,3.743799564133519,0.159318,2016,Transit,13.905144164909109,
Kepler-1131 b,3.53232449,1.5916752637932925,0.0458416,2016,Transit,3.771434382846239,
Kepler-705 b,56.0560538,2.107288377416472,0.231978,2016,Transit,4.981044405945566,
HD 1237 b,133.71001,,0.494668,2001,RV,1072.5675002510795,1072.5675002510795
WASP-21 b,4.322482,11.993609382104388,0.0521087,2010,Transit,95.43142954705232,95.40886456764085
Kepler-284 c,37.514456,2.6099999542183405,0.219317,2014,Transit,6.680250918951491,
Kepler-186 c,7.267302,1.2488822150797259,0.0574114,2014,Transit,2.0235542557999393,
HD 4308 b,15.56,,0.119192,2006,RV,15.171802269759967,15.171802269759967
Kepler-239 b,11.763051,2.3299996155594926,0.101225,2014,Transit,5.653131194134779,
Kepler-651 b,21.38521506,2.3650949342280616,0.146649,2016,Transit,5.769897017173847,
Kepler-80 f,0.98678706,1.2329878804032548,0.017386,2016,Transit,1.936402584613839,
Kepler-1217 b,2.03232507,1.9951985701070851,0.0320163,2016,Transit,4.682646389474741,
Kepler-895 b,2.80624233,1.5356303601385994,0.0337283,2016,Transit,3.6594993723008935,
Kepler-628 b,15.4580567,8.395526567473071,0.121444,2016,Transit,77.35306723912825,
Kepler-174 b,13.98179,1.9599911616312067,0.113583,2014,Transit,4.593721301596866,
Kepler-440 b,101.11141,1.8600070535112336,0.353207,2010,Transit,4.352339585216431,
Kepler-403 d,13.61159129,1.4235405528292124,0,2016,Transit,3.15041436778146,
Kepler-224 d,11.349393,2.2999931741427697,0.0988375,2014,Transit,5.555783966054031,
Kepler-389 c,14.51143,1.4599921581662252,0.116434,2014,Transit,3.4262219795119013,
Kepler-674 b,2.24338185,1.6925560903717407,0.0282874,2016,Transit,3.980112769910615,
Kepler-1047 c,3.18897601,0.9863903043226039,0.0435026,2016,Transit,0.8823955744702218,
Kepler-1247 b,13.71220213,2.3314679920352455,0.106621,2016,Transit,5.657962006628502,
Kepler-1210 b,8.07124073,1.7037650711026795,0.0771394,2016,Transit,4.003949015767801,
Kepler-254 c,12.412183,2.149994594001348,0.104915,2014,Transit,5.101306211710353,
Kepler-236 c,23.968127,1.9999960138599266,0.162691,2014,Transit,4.694945892337048,
WASP-25 b,3.764825,13.67495649174519,0.0473714,2011,Transit,183.84737521341768,183.73550376619463
Kepler-186 d,13.342996,1.398768705413838,0.0860831,2014,Transit,2.9711594426031933,
Kepler-1646 b,4.48558383,1.2329878804032548,0.0330793,2016,Transit,1.936402584613839,
HD 24040 b,3668,,4.92406,2007,RV,1278.2234513407652,1278.2234513407652
Kepler-359 c,57.68802,4.299989188002696,0.292189,2014,Transit,19.31654404439088,
Kepler-211 c,6.04045,1.2899967564008088,0.0649112,2014,Transit,2.260604131766596,
Kepler-967 b,13.22713379,2.353885953497123,0.103279,2016,Transit,5.7322675303806365,
Kepler-1574 b,6.9424334,1.2890327840579483,0.0726189,2016,Transit,2.2548516510997287,
Kepler-1157 b,4.45743164,1.087271130901052,0.0483728,2016,Transit,1.2486855754745403,
Kepler-549 b,42.9495649,2.5668565873849576,0.230006,2016,Transit,6.506977302400321,
Kepler-1510 b,84.703921,3.3626942192816043,0.399998,2016,Transit,10.815744230189816,
Kepler-1002 b,4.33642933,1.714974051833618,0.0556094,2016,Transit,4.027912388269559,
Kepler-294 c,6.6264,2.7099952713190447,0.0690438,2014,Transit,7.104853911820828,
Kepler-263 c,47.332773,2.4699997848889166,0.256083,2014,Transit,6.1386278497539415,
Kepler-349 b,5.929778,1.9000006967592227,0.0641159,2014,Transit,4.44698537210003,
Kepler-1563 b,3.43276598,0.7510017089728915,0.0445351,2016,Transit,0.33610060108466405,
Kepler-1611 b,5.1762429,0.8070466126275849,0.0573666,2016,Transit,0.4328598684342673,
Kepler-1284 b,0.66407381,1.2105699189413774,0.0140554,2016,Transit,1.8176662985839105,
HD 200964 b,613.8,,1.64347,2011,RV,619.3387651903184,619.3387651903184
Kepler-706 b,41.40831347,13.17055235885295,0.223617,2016,Transit,317.8166114291453,
HD 147018 b,44.236,,0.238855,2010,RV,676.0308923370493,676.0308923370493
HD 218566 b,225.7,,0.687282,2011,RV,67.65425770814502,67.65425770814502
HD 45364 b,226.93,,0.68156,2009,RV,59.47906101235312,59.47906101235312
Kepler-1177 b,106.247547,1.9055267242595757,0.436075,2016,Transit,4.4602383247966255,
Kepler-1364 b,13.32196237,2.1521243003402266,0.125617,2016,Transit,5.1074082906497935,
Kepler-653 b,14.70748976,1.9503626471833304,0.118258,2016,Transit,4.569757929095109,
Kepler-553 b,4.03046804,4.629309041877675,0.0482066,2016,Transit,22.487972446520036,
Kepler-361 b,8.486616,1.4499937473542277,0.081426,2014,Transit,3.3491514512403335,
Kepler-318 c,11.815007,3.679998045813016,0.101523,2014,Transit,13.333074264336648,
Kepler-372 b,6.849692,1.359996841065521,0.0705863,2014,Transit,2.703719942251682,
Kepler-197 e,25.209715,0.9099988588451106,0.168262,2014,Transit,0.6620533177663954,
HD 141937 b,653.21997,,1.50087,2002,RV,3011.3759566134377,3011.3759566134377
Kepler-405 c,29.726682,4.659988022138254,0.187804,2014,Transit,22.796032087978304,
Kepler-104 d,51.755394,3.579991519731581,0.271796,2014,Transit,12.48212028723511,
