M,D,ε,R
5.972e24,4.4880000000000084e10,1.0e-8,1.084277e8
5.972e24,5.064842076179947e10,1.0e-8,1.084277e8
5.972e24,5.7158255919435715e10,1.0e-8,1.084277e8
5.972e24,6.450479937206279e10,1.0e-8,1.084277e8
5.972e24,7.27955931317221e10,1.0e-8,1.084277e8
5.972e24,8.215200157175165e10,1.0e-8,1.084277e8
5.972e24,9.271098801314798e10,1.0e-8,1.084277e8
5.972e24,1.0462711965534886e11,1.0e-8,1.084277e8
5.972e24,1.1807483020051779e11,1.0e-8,1.084277e8
5.972e24,1.3325097329264297e11,1.0e-8,1.084277e8
5.972e24,1.5037770414984564e11,1.0e-8,1.084277e8
5.972e24,1.697057315725215e11,1.0e-8,1.084277e8
5.972e24,1.9151798793168564e11,1.0e-8,1.084277e8
5.972e24,2.1613377086045517e11,1.0e-8,1.084277e8
5.972e24,2.4391341727661914e11,1.0e-8,1.084277e8
5.972e24,2.752635781567402e11,1.0e-8,1.084277e8
5.972e24,3.106431712763152e11,1.0e-8,1.084277e8
5.972e24,3.50570099054869e11,1.0e-8,1.084277e8
5.972e24,3.95628829844846e11,1.0e-8,1.084277e8
5.972e24,4.4647895364260455e11,1.0e-8,1.084277e8
5.972e24,5.0386483746387146e11,1.0e-8,1.084277e8
5.972e24,5.686265217233893e11,1.0e-8,1.084277e8
5.972e24,6.417120171248813e11,1.0e-8,1.084277e8
5.972e24,7.241911820687164e11,1.0e-8,1.084277e8
5.972e24,8.172713837210608e11,1.0e-8,1.084277e8
5.972e24,9.223151719982683e11,1.0e-8,1.084277e8
5.972e24,1.0408602251862667e12,1.0e-8,1.084277e8
5.972e24,1.1746418591678938e12,1.0e-8,1.084277e8
5.972e24,1.3256184297584172e12,1.0e-8,1.084277e8
5.972e24,1.4960000000000024e12,1.0e-8,1.084277e8
5.972e24,4.4880000000000084e10,1.0e-10,2.4501159749594554e7
5.972e24,5.064842076179947e10,1.0e-10,2.3108429232028373e7
5.972e24,5.7158255919435715e10,1.0e-10,2.1429643168603472e7
5.972e24,6.450479937206279e10,1.0e-10,2.0720116605696436e7
5.972e24,7.27955931317221e10,1.0e-10,1.9736641669993296e7
5.972e24,8.215200157175165e10,1.0e-10,1.9117577726532634e7
5.972e24,9.271098801314798e10,1.0e-10,1.8675256776900943e7
5.972e24,1.0462711965534886e11,1.0e-10,1.8137043951418664e7
5.972e24,1.1807483020051779e11,1.0e-10,1.7905458704204045e7
5.972e24,1.3325097329264297e11,1.0e-10,1.780049521277216e7
5.972e24,1.5037770414984564e11,1.0e-10,1.770952827062483e7
5.972e24,1.697057315725215e11,1.0e-10,1.7704870106117513e7
5.972e24,1.9151798793168564e11,1.0e-10,1.7669873571790103e7
5.972e24,2.1613377086045517e11,1.0e-10,1.7674199820414662e7
5.972e24,2.4391341727661914e11,1.0e-10,1.7704714804359667e7
5.972e24,2.752635781567402e11,1.0e-10,1.7684303333864734e7
5.972e24,3.106431712763152e11,1.0e-10,1.7757032734863333e7
5.972e24,3.50570099054869e11,1.0e-10,1.7535179376196977e7
5.972e24,3.95628829844846e11,1.0e-10,1.7640087798306957e7
5.972e24,4.4647895364260455e11,1.0e-10,1.764182879244596e7
5.972e24,5.0386483746387146e11,1.0e-10,1.762159331066843e7
5.972e24,5.686265217233893e11,1.0e-10,1.7586512929882072e7
5.972e24,6.417120171248813e11,1.0e-10,1.7586815936650362e7
5.972e24,7.241911820687164e11,1.0e-10,1.767049021295821e7
5.972e24,8.172713837210608e11,1.0e-10,1.7698669026860498e7
5.972e24,9.223151719982683e11,1.0e-10,1.7611556427114062e7
5.972e24,1.0408602251862667e12,1.0e-10,1.7582255987462115e7
5.972e24,1.1746418591678938e12,1.0e-10,1.754814757081924e7
5.972e24,1.3256184297584172e12,1.0e-10,1.7472853379700024e7
5.972e24,1.4960000000000024e12,1.0e-10,1.7402923367731363e7
5.972e24,4.4880000000000084e10,1.0e-12,2.291053737057155e7
5.972e24,5.064842076179947e10,1.0e-12,2.093331578756708e7
5.972e24,5.7158255919435715e10,1.0e-12,1.925575593752555e7
5.972e24,6.450479937206279e10,1.0e-12,1.7585173869475476e7
5.972e24,7.27955931317221e10,1.0e-12,1.6618882121294627e7
5.972e24,8.215200157175165e10,1.0e-12,1.5749349467829732e7
5.972e24,9.271098801314798e10,1.0e-12,1.506334560824723e7
5.972e24,1.0462711965534886e11,1.0e-12,1.4209000883220615e7
5.972e24,1.1807483020051779e11,1.0e-12,1.420233819118034e7
5.972e24,1.3325097329264297e11,1.0e-12,1.3791842609702878e7
5.972e24,1.5037770414984564e11,1.0e-12,1.3256793572809018e7
5.972e24,1.697057315725215e11,1.0e-12,1.3069225232337633e7
5.972e24,1.9151798793168564e11,1.0e-12,1.2804913587262416e7
5.972e24,2.1613377086045517e11,1.0e-12,1.273766853004422e7
5.972e24,2.4391341727661914e11,1.0e-12,1.2764671781134393e7
5.972e24,2.752635781567402e11,1.0e-12,1.2566975983135967e7
5.972e24,3.106431712763152e11,1.0e-12,1.2453315570244197e7
5.972e24,3.50570099054869e11,1.0e-12,1.30744904614891e7
5.972e24,3.95628829844846e11,1.0e-12,1.2289581469040968e7
5.972e24,4.4647895364260455e11,1.0e-12,1.223245926072127e7
5.972e24,5.0386483746387146e11,1.0e-12,1.2116166345698407e7
5.972e24,5.686265217233893e11,1.0e-12,1.2103671145460762e7
5.972e24,6.417120171248813e11,1.0e-12,1.2184295628635965e7
5.972e24,7.241911820687164e11,1.0e-12,1.222215099620633e7
5.972e24,8.172713837210608e11,1.0e-12,1.2167555262682844e7
5.972e24,9.223151719982683e11,1.0e-12,1.2135996519867694e7
5.972e24,1.0408602251862667e12,1.0e-12,1.2077770007808402e7
5.972e24,1.1746418591678938e12,1.0e-12,1.2827969245952304e7
5.972e24,1.3256184297584172e12,1.0e-12,1.2042462259621177e7
5.972e24,1.4960000000000024e12,1.0e-12,1.261760990783826e7
5.972e24,4.4880000000000084e10,1.0e-14,2.294435234574482e7
5.972e24,5.064842076179947e10,1.0e-14,2.089172898204888e7
5.972e24,5.7158255919435715e10,1.0e-14,1.925156905084244e7
5.972e24,6.450479937206279e10,1.0e-14,1.755136933708656e7
5.972e24,7.27955931317221e10,1.0e-14,1.6534421536262538e7
5.972e24,8.215200157175165e10,1.0e-14,1.556357793513013e7
5.972e24,9.271098801314798e10,1.0e-14,1.4831736413902009e7
5.972e24,1.0462711965534886e11,1.0e-14,1.4052099264766613e7
5.972e24,1.1807483020051779e11,1.0e-14,1.3619594329832215e7
5.972e24,1.3325097329264297e11,1.0e-14,1.2895361964683345e7
5.972e24,1.5037770414984564e11,1.0e-14,1.2423816150585435e7
5.972e24,1.697057315725215e11,1.0e-14,1.222549403782718e7
5.972e24,1.9151798793168564e11,1.0e-14,1.1745473058375115e7
5.972e24,2.1613377086045517e11,1.0e-14,1.1720614140140286e7
5.972e24,2.4391341727661914e11,1.0e-14,1.1692459961061038e7
5.972e24,2.752635781567402e11,1.0e-14,1.1339132410338793e7
5.972e24,3.106431712763152e11,1.0e-14,1.1351444573080279e7
5.972e24,3.50570099054869e11,1.0e-14,1.1220704120293602e7
5.972e24,3.95628829844846e11,1.0e-14,1.0867150451945405e7
5.972e24,4.4647895364260455e11,1.0e-14,1.071508940840388e7
5.972e24,5.0386483746387146e11,1.0e-14,1.0739843163657311e7
5.972e24,5.686265217233893e11,1.0e-14,1.0614386698159477e7
5.972e24,6.417120171248813e11,1.0e-14,1.0583944102946233e7
5.972e24,7.241911820687164e11,1.0e-14,1.0580627084791908e7
5.972e24,8.172713837210608e11,1.0e-14,1.0472568385526935e7
5.972e24,9.223151719982683e11,1.0e-14,1.0355222950987482e7
5.972e24,1.0408602251862667e12,1.0e-14,1.0390268792002952e7
5.972e24,1.1746418591678938e12,1.0e-14,1.0322201778917037e7
5.972e24,1.3256184297584172e12,1.0e-14,1.0171706699622285e7
5.972e24,1.4960000000000024e12,1.0e-14,9.844752093226533e6
1.7916e25,4.4880000000000084e10,1.0e-8,2.3623499016028877e7
1.7916e25,5.064842076179947e10,1.0e-8,2.3537163024376336e7
1.7916e25,5.7158255919435715e10,1.0e-8,2.347696350198292e7
1.7916e25,6.450479937206279e10,1.0e-8,2.343700392530534e7
1.7916e25,7.27955931317221e10,1.0e-8,2.3395388455867656e7
1.7916e25,8.215200157175165e10,1.0e-8,2.336310563070452e7
1.7916e25,9.271098801314798e10,1.0e-8,2.3333097338916447e7
1.7916e25,1.0462711965534886e11,1.0e-8,2.330866479643277e7
1.7916e25,1.1807483020051779e11,1.0e-8,2.3278735310798414e7
1.7916e25,1.3325097329264297e11,1.0e-8,2.3263802563339427e7
1.7916e25,1.5037770414984564e11,1.0e-8,2.3250483520070363e7
1.7916e25,1.697057315725215e11,1.0e-8,2.3249876718949277e7
1.7916e25,1.9151798793168564e11,1.0e-8,2.3245601203316655e7
1.7916e25,2.1613377086045517e11,1.0e-8,2.326119436741925e7
1.7916e25,2.4391341727661914e11,1.0e-8,2.3260896767791733e7
1.7916e25,2.752635781567402e11,1.0e-8,2.332744911620889e7
1.7916e25,3.106431712763152e11,1.0e-8,2.3317071424858354e7
1.7916e25,3.50570099054869e11,1.0e-8,2.333612126712281e7
1.7916e25,3.95628829844846e11,1.0e-8,2.3283826131573692e7
1.7916e25,4.4647895364260455e11,1.0e-8,2.333879580369495e7
1.7916e25,5.0386483746387146e11,1.0e-8,2.3300922623909663e7
1.7916e25,5.686265217233893e11,1.0e-8,2.3278823005333092e7
1.7916e25,6.417120171248813e11,1.0e-8,2.331397976483263e7
1.7916e25,7.241911820687164e11,1.0e-8,2.329591280992218e7
1.7916e25,8.172713837210608e11,1.0e-8,2.3277980669786025e7
1.7916e25,9.223151719982683e11,1.0e-8,2.327408992874739e7
1.7916e25,1.0408602251862667e12,1.0e-8,2.3269382806648612e7
1.7916e25,1.1746418591678938e12,1.0e-8,2.3270602785420675e7
1.7916e25,1.3256184297584172e12,1.0e-8,2.3231379140708126e7
1.7916e25,1.4960000000000024e12,1.0e-8,2.3267468538450956e7
1.7916e25,4.4880000000000084e10,1.0e-10,1.7675627631501075e7
1.7916e25,5.064842076179947e10,1.0e-10,1.740557905181099e7
1.7916e25,5.7158255919435715e10,1.0e-10,1.713769726065962e7
1.7916e25,6.450479937206279e10,1.0e-10,1.6913247243223004e7
