"M","D","ɛ","R"
5.972e24,1.4960000000000023e10,1.0e-10,1.9207109843313694e7
5.972e24,1.753465037110095e10,1.0e-10,1.8442717116355896e7
5.972e24,2.0552403986413616e10,1.0e-10,1.7887437610924244e7
5.972e24,2.4089519932311737e10,1.0e-10,1.7468648524582386e7
5.972e24,2.8235381659141136e10,1.0e-10,1.7132749530300498e7
5.972e24,3.3094755714414124e10,1.0e-10,1.685229085867107e7
5.972e24,3.879043920917388e10,1.0e-10,1.6611461472928524e7
5.972e24,4.5466362919405464e10,1.0e-10,1.640412361907959e7
5.972e24,5.329122843832614e10,1.0e-10,1.6223490412443876e7
5.972e24,6.246277129094356e10,1.0e-10,1.6067822600960732e7
5.972e24,7.32127577404232e10,1.0e-10,1.5930893092006445e7
5.972e24,8.581284155631276e10,1.0e-10,1.580995329707861e7
5.972e24,1.0058142874603061e11,1.0e-10,1.5705307347685099e7
5.972e24,1.1789172372242242e11,1.0e-10,1.5612376163810492e7
5.972e24,1.3818116023523352e11,1.0e-10,1.5530827101618052e7
5.972e24,1.6196245538755908e11,1.0e-10,1.5459081528499722e7
5.972e24,1.8983656607392163e11,1.0e-10,1.5395622588559985e7
5.972e24,2.2250787525111063e11,1.0e-10,1.5338888756588101e7
5.972e24,2.608019918011185e11,1.0e-10,1.5290385483548045e7
5.972e24,3.056866137913986e11,1.0e-10,1.5246192324221134e7
5.972e24,3.582959823501277e11,1.0e-10,1.5208755636423826e7
5.972e24,4.199595441095997e11,1.0e-10,1.5190220721840858e7
5.972e24,4.922355465219763e11,1.0e-10,1.5160664841741323e7
5.972e24,5.769504150060564e11,1.0e-10,1.5134751886859536e7
5.972e24,6.762449069914958e11,1.0e-10,1.5112175824865699e7
5.972e24,7.92628209180043e11,1.0e-10,1.5092514673292637e7
5.972e24,9.290413450697795e11,1.0e-10,1.507538921816647e7
5.972e24,1.0889314950598782e12,1.0e-10,1.5060498179212213e7
5.972e24,1.276339107216255e12,1.0e-10,1.5046793253138661e7
5.972e24,1.4960000000000024e12,1.0e-10,1.5036335881322622e7
5.972e24,1.4960000000000023e10,1.0e-12,1.7154640345990658e7
5.972e24,1.753465037110095e10,1.0e-12,1.5789720265409444e7
5.972e24,2.0552403986413616e10,1.0e-12,1.4752069863379002e7
5.972e24,2.4089519932311737e10,1.0e-12,1.393870055872202e7
5.972e24,2.8235381659141136e10,1.0e-12,1.327795385972457e7
5.972e24,3.3094755714414124e10,1.0e-12,1.2764684508740902e7
5.972e24,3.879043920917388e10,1.0e-12,1.2388807427749038e7
5.972e24,4.5466362919405464e10,1.0e-12,1.2115758159980178e7
5.972e24,5.329122843832614e10,1.0e-12,1.1909645385861397e7
5.972e24,6.246277129094356e10,1.0e-12,1.1749749196007848e7
5.972e24,7.32127577404232e10,1.0e-12,1.1619541943788528e7
5.972e24,8.581284155631276e10,1.0e-12,1.151102306972444e7
5.972e24,1.0058142874603061e11,1.0e-12,1.1418532401330769e7
5.972e24,1.1789172372242242e11,1.0e-12,1.1336993318453431e7
5.972e24,1.3818116023523352e11,1.0e-12,1.1265809438213706e7
5.972e24,1.6196245538755908e11,1.0e-12,1.1203418760195374e7
5.972e24,1.8983656607392163e11,1.0e-12,1.1147066043019295e7
5.972e24,2.2250787525111063e11,1.0e-12,1.1097909837648273e7
5.972e24,2.608019918011185e11,1.0e-12,1.105314738215506e7
5.972e24,3.056866137913986e11,1.0e-12,1.1014184334352612e7
5.972e24,3.582959823501277e11,1.0e-12,1.097896305450797e7
5.972e24,4.199595441095997e11,1.0e-12,1.0947522034265101e7
